         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G0T34-0_G0158T64-0_C9ES         8201.1          0.174        1990.666       8849.861       1864.256       1990.666         0.241          0.57        0.00521492   
          L20G0124T64-0S               988.653         0.323         705.476       1429.122        681.841        705.476         0.099          1.888       0.00213351   
          L20G0124T64-1S              2727.994         0.022         414.907       2730.697        61.427         414.907         0.159          0.311       0.00342631   
          L20G0124T64-2S              2291.216         0.266        1397.887       2838.458       1028.651       1397.887         0.164          1.545       0.00353583   
          L20G0124T64-3S              4550.343         0.212        1367.674       5136.239       1381.831       1367.674         0.205          0.729       0.00441874   
          L20G0124T64-4S              2726.645         0.022         414.537       2729.346        61.396         414.537         0.159          0.311       0.00342631   
          L20G0124T64-5S               987.727         0.323         705.402       1427.784        681.203        705.402         0.099          1.89        0.00213351   
          L20G0124T64-6S               4547.21         0.212        1368.258       5132.703       1380.879       1368.258         0.205          0.729       0.00441897   
          L20G0124T64-7S               2292.02         0.266        1397.298       2839.454       1029.012       1397.298         0.164          1.544       0.00353583   
          L20G0125T64-0S              3756.171         0.067         807.026       3792.667        272.357        807.026         0.178          0.458       0.00384129   
          L20G0125T64-1S              3984.449         0.193        1040.177       4389.681       1049.825       1040.177         0.184          0.623        0.0039676   
          L20G0125T64-2S              4020.516         0.258        1943.173        4899.59       1703.631       1943.173         0.194          1.216       0.00420003   
          L20G0125T64-3S              3987.472         0.193        1040.895       4393.012       1050.621       1040.895         0.184          0.623       0.00396745   
          L20G0125T64-4S              3755.983         0.068         808.981       3793.626        276.788        808.981         0.178          0.46        0.00384129   
          L20G0125T64-5S              4022.281         0.257        1944.441       4892.036       1692.131       1944.441         0.194          1.215        0.0041998   
          L20G0128T64-0S               2235.1          0.293        1140.192       2952.008       1223.392       1140.192         0.154          1.319       0.00333238   
          L20G0128T64-1S              3357.521         0.274        1498.629       4232.992       1597.576       1498.629         0.178          1.137       0.00384197   
          L20G0128T64-2S              2239.792         0.293        1139.323       2958.205        1225.96       1139.323         0.154          1.315       0.00333238   
          L20G0128T64-3S              3358.604         0.274         1500.37       4234.358       1598.091        1500.37         0.178          1.138       0.00384197   
           L20G012T34-4S               1065.93         0.388        1151.766       2098.179       1330.218       1151.766         0.106           3.0        0.00228847   
    L20G012T34-4_G0124T64-4_C9S       5829.258         0.262         2365.27       7161.489       2542.426        2365.27         0.238          1.024       0.00514399   
