         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S               543.443         0.32          397.04         777.654        365.955        397.04          0.059          0.518       0.00128312   
          L20G0124T64-1S              1315.361         0.001          197.5        1315.364         1.317          197.5          0.095          3.327       0.00204695   
          L20G0124T64-2S              1251.183         0.262         780.557       1537.131        545.702        780.557         0.099          0.635       0.00213233   
          L20G0124T64-3S              2291.812         0.197         691.071       2537.043        622.413        691.071         0.125          1.385       0.00269179   
          L20G0124T64-4S              1315.057         0.001         198.058        1315.06         1.316         198.058         0.095          3.317       0.00204695   
          L20G0124T64-5S               542.844         0.32          396.947        776.797        365.552        396.947         0.059          0.518       0.00128312   
          L20G0124T64-6S              2286.024         0.196         690.766       2527.564        616.172        690.766         0.125          0.723        0.0026918   
          L20G0124T64-7S              1252.413         0.262         780.025       1538.642        546.239        780.025         0.099          0.636       0.00213233   
          L20G0125T64-0S              1774.501         0.028         374.189       1777.368         51.2          374.189         0.106          2.307       0.00228693   
          L20G0125T64-1S              2010.353         0.171         503.445       2162.938        446.155        503.445         0.111          0.586       0.00240352   
          L20G0125T64-2S              1952.331         0.265         1033.33       2413.528        870.184        1033.33         0.115          0.747       0.00248078   
          L20G0125T64-3S              2010.257         0.17          501.418       2160.727        442.559        501.418         0.111          1.713       0.00240353   
          L20G0125T64-4S              1767.503         0.027         372.789       1770.156         49.12         372.789         0.106          2.308       0.00228693   
          L20G0125T64-5S              1949.031         0.265        1032.646       2409.449        868.713       1032.646         0.115          0.746       0.00248078   
          L20G0128T64-0S              1051.704         0.306         609.042       1440.383        635.097        609.042         0.092          0.661       0.00199423   
          L20G0128T64-1S              1757.502         0.267         791.959       2181.912        794.776        791.959         0.106          0.876       0.00228687   
          L20G0128T64-2S              1040.599         0.307         608.64         1429.4         633.226        608.64          0.092          0.654       0.00199423   
          L20G0128T64-3S              1756.495         0.265         794.569        2171.43        782.897        794.569         0.106          0.874       0.00228687   
           L20G012T34-4S               587.16          0.39          644.214       1171.248        748.831        644.214         0.062          0.328        0.0013361   
    L20G012T34-4_G0124T64-4_C9S       2990.312         0.272         1305.85        3753.15       1402.276        1305.85         0.147           0.9        0.00318408   
    L20G012T34-4_G0125T64-0_C9S       3398.241         0.256        1392.766        4124.94       1419.334       1392.766         0.158          0.971       0.00342239   
    L20G012T34-4_G0128T64-1_C9S       2532.689         0.313        1551.215       3543.254       1614.321       1551.215         0.158          0.622       0.00342026   
    L20G012T34-4_G0128T64-3_C9S       2587.983         0.322        1600.329        3728.29       1770.663       1600.329         0.16           0.612       0.00346668   
    L20G012T34-4_G012T34-7_C6S        1384.172         0.372        1464.448       2474.888       1466.017       1464.448         0.119          0.344       0.00257146   
    L20G012T34-4_G012T64-10_C9S       2050.049         0.357        1781.297       3396.482       1885.761       1781.297         0.173          0.424       0.00374479   
    L20G012T34-4_G012T64-5_C9S        1675.347         0.359        1574.422       2802.168       1569.389       1574.422         0.17           0.392       0.00368272   
    L20G012T34-4_G012T64-9_C9S        7151.335         0.272        3077.743       8975.663       3353.544       3077.743         0.237          0.913       0.00512291   
    L20G012T34-4_G0138T64-2_C9S        1398.14         0.348        1169.404       2224.512       1187.316       1169.404         0.151          0.443       0.00326025   
    L20G012T34-4_G013T34-0_C6S        1785.572         0.34         1373.345       2748.315       1415.799       1373.345         0.122          0.485       0.00263296   
    L20G012T34-4_G014T64-4_C9S        2804.288         0.325        1922.294       4081.713       1965.269       1922.294         0.177          0.55        0.00382092   
    L20G012T34-4_G0158T64-3_C9S        1759.96         0.354         1442.97       2875.635       1575.813        1442.97         0.164          0.45        0.00355183   
    L20G012T34-4_G0158T64-5_C9S        988.086         0.356         897.044       1629.403        900.726        897.044         0.137          0.406       0.00296876   
    L20G012T34-4_G015T34-11_C6S        1323.93         0.359        1184.295       2214.392       1240.198       1184.295         0.116          0.411       0.00250108   
    L20G012T34-4_G015T34-2_C6S        2514.208         0.313        1573.298       3517.399       1602.541       1573.298         0.128          0.609       0.00276481   
    L20G012T34-4_G0178T64-2_C9S       1754.757         0.364        1544.742        3008.09       1721.611       1544.742         0.171          0.416       0.00369762   
    L20G012T34-4_G0178T64-3_C9S        839.148         0.366         800.447       1453.257        838.946        800.447         0.131          0.384       0.00282303   
    L20G012T34-4_G017T34-0_C6S        2884.935         0.302        1660.883       3905.578       1689.806       1660.883         0.131          0.667        0.0028307   
    L20G012T34-4_G017T34-4_C6S        1165.744         0.366        1088.823       2018.863       1165.464       1088.823         0.113          0.392       0.00243514   
    L20G012T34-4_G018T64-1_C9S         1857.64         0.359        1539.837        3107.07       1740.153       1539.837         0.141          0.444       0.00304757   
    L20G012T34-4_G018T64-3_C9S        1238.743         0.308        1123.495       1706.665        759.614       1123.495         0.143          0.421       0.00309664   
    L20G012T34-4_G018T64-9_C9S        2810.966         0.313        1552.468       3932.566       1791.693       1552.468         0.172          0.69        0.00371786   
    L20G012T34-4_G028T64-1_C9S        1085.039         0.388        1022.621       2135.794       1354.065       1022.621         0.124          0.382       0.00267133   
    L20G012T34-4_G048T64-1_C9S        3834.166         0.148         843.073       4041.997        702.131        843.073         0.163          1.981       0.00351678   
    L20G012T34-4_G058T64-7_C9S        4111.011         0.125         919.815       4263.271        609.039        919.815         0.17           1.986       0.00367736   
     L20G012T34-4_G12T64-0_C9S         3589.34         0.235        1612.775       4195.012       1288.664       1612.775         0.18           0.901       0.00389443   
     L20G012T34-4_G12T64-1_C9S        3874.389         0.243        1611.739       4590.551       1473.585       1611.739         0.181          0.967       0.00390377   
     L20G012T34-4_G12T64-2_C9S        1718.635         0.334        1306.047       2584.425       1296.093       1306.047         0.143          0.493       0.00308067   
     L20G012T34-4_G13T64-0_C9S        1962.982         0.322        1548.501       2827.903       1343.046       1548.501         0.159          0.479       0.00343956   
     L20G012T34-4_G17T64-0_C9S         3506.93         0.245        1234.032       4169.985       1353.174       1234.032         0.16           1.141       0.00345397   
     L20G012T34-4_G17T64-1_C9S        2907.441         0.206        1016.301       3255.418        844.605       1016.301         0.161          1.186       0.00347831   
           L20G012T34-7S               589.669         0.39          643.338       1176.253        752.03         643.338         0.062          0.33         0.0013361   
    L20G012T34-7_G0124T64-1_C9S       2987.986         0.273        1309.034       3758.623       1411.422       1309.034         0.147          0.897       0.00318408   
    L20G012T34-7_G0125T64-4_C9S       3395.611         0.256        1393.132       4121.748       1418.236       1393.132         0.158          0.97        0.00342239   
    L20G012T34-7_G0128T64-1_C9S       2586.308         0.321        1599.326       3713.335       1755.494       1599.326         0.16           0.612       0.00346668   
    L20G012T34-7_G0128T64-3_C9S       2533.748         0.313        1551.965       3544.735       1614.996       1551.965         0.158          0.622       0.00342026   
    L20G012T34-7_G012T64-10_C9S        1678.92         0.36         1575.165       2821.714       1587.214       1575.165         0.17           0.392        0.0036827   
    L20G012T34-7_G012T64-9_C9S        6078.052         0.262         2757.2        7467.143       2650.937        2757.2          0.234          0.873       0.00505794   
    L20G012T34-7_G0138T64-2_C9S       1382.301         0.346        1330.873       2180.643       1153.674       1330.873         0.151          0.386       0.00326149   
    L20G012T34-7_G014T64-0_C9S        2809.924         0.332        1928.161       4193.991       2084.439       1928.161         0.177          0.547       0.00382092   
    L20G012T34-7_G0158T64-3_C9S        1616.79         0.359        1646.572       2704.227       1514.536       1646.572         0.164          0.361       0.00355307   
    L20G012T34-7_G0158T64-5_C9S        1024.45         0.349        1019.468       1637.016        877.601       1019.468         0.138          0.372         0.00297    
    L20G012T34-7_G0178T64-2_C9S       1736.017         0.362        1774.449       2946.378       1671.769       1774.449         0.171          0.359       0.00369886   
    L20G012T34-7_G0178T64-3_C9S        875.004         0.359         889.385       1463.523        819.664        889.385         0.131          0.362       0.00282427   
    L20G012T34-7_G018T64-10_C9S       2809.377         0.313        1550.144       3930.343        1790.68       1550.144         0.172          0.69        0.00371786   
    L20G012T34-7_G018T64-3_C9S         1857.17         0.359        1539.668       3106.284       1739.713       1539.668         0.141          0.444       0.00304757   
    L20G012T34-7_G023T34-1_C6S        2976.833         0.242        1248.701       3520.889       1124.083       1248.701         0.121          0.96         0.0026211   
    L20G012T34-7_G025T34-1_C6S        3182.751         0.267        1485.405       3951.337        1439.3        1485.405         0.127          0.846       0.00275301   
    L20G012T34-7_G025T34-4_C6S        2582.103         0.226        1016.645       2974.702        868.582       1016.645         0.115          1.036       0.00248929   
    L20G012T34-7_G027T34-0_C6S        3262.296         0.273        1598.961        4103.68       1540.997       1598.961         0.131          0.801       0.00281896   
    L20G012T34-7_G027T34-2_C6S        2291.108         0.232         901.189       2664.595        804.93         901.189         0.112          1.032       0.00242337   
    L20G012T34-7_G028T64-0_C9S        1090.737         0.387        1023.915       2133.023       1346.623       1023.915         0.124          0.384       0.00267133   
    L20G012T34-7_G028T64-1_C9S         761.755         0.379         965.558       1417.514        865.117        965.558         0.125          0.286       0.00270586   
    L20G012T34-7_G058T64-6_C9S        2061.949         0.318        1597.376        2931.2        1366.747       1597.376         0.147          0.49        0.00316499   
    L20G012T34-7_G068T64-3_C9S        1834.879         0.323        1403.175       2652.363       1265.455       1403.175         0.141          0.494        0.0030403   
