         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S               399.371         0.319         293.882         569.6         266.817        293.882         0.045          1.941        0.000979    
          L20G0124T64-1S               879.27         -0.008         135.961        879.382        -6.979         135.961         0.072          0.307       0.00155831   
          L20G0124T64-2S               915.288         0.262         575.725        1124.47        399.202        575.725         0.075          1.588       0.00162823   
          L20G0124T64-3S              1598.427         0.188         484.052       1750.845        405.368        484.052         0.095          0.72        0.00206074   
          L20G0124T64-4S               875.964        -0.007         136.706        876.049         -6.09         136.706         0.072          0.31        0.00155831   
          L20G0124T64-5S               399.259         0.319         293.864        569.441        266.742        293.864         0.045          1.942        0.000979    
          L20G0124T64-6S              1597.845         0.189         484.06        1752.198        408.342        484.06          0.095          0.72        0.00206074   
          L20G0124T64-7S               917.182         0.262         576.036       1126.797        400.028        576.036         0.075          1.585       0.00162823   
          L20G0125T64-0S              1174.538         0.002         238.141       1174.547         2.354         238.141         0.08           0.406       0.00173876   
          L20G0125T64-1S              1425.888         0.163         349.42        1522.549        296.506        349.42          0.085          0.57        0.00183745   
          L20G0125T64-2S              1304.408         0.269         723.739        1626.4         598.497        723.739         0.087          1.408       0.00188117   
          L20G0125T64-3S              1426.461         0.163         350.251       1523.161        296.625        350.251         0.085          0.571       0.00183745   
          L20G0125T64-4S              1175.284         0.001         236.91        1175.286         1.176         236.91          0.08           0.404       0.00173876   
          L20G0125T64-5S              1308.501         0.269         724.045       1631.503        600.375        724.045         0.087          1.404       0.00188116   
          L20G0128T64-0S               719.113         0.316         452.124       1015.663        469.224        452.124         0.07           1.655        0.0015184   
          L20G0128T64-1S               1254.6          0.258         564.277       1528.914        531.617        564.277         0.08           1.132       0.00173868   
          L20G0128T64-2S               718.391         0.314         451.814        1008.2         461.479        451.814         0.07           1.653        0.0015184   
          L20G0128T64-3S              1253.906         0.259         564.655       1531.124        535.17         564.655         0.08           1.134       0.00173868   
           L20G012T34-4S               433.709         0.392         478.397        877.019        565.446        478.397         0.047          3.071       0.00100925   
    L20G012T34-4_G0124T64-4_C9S       2084.569         0.279         960.674       2658.635       1028.792        960.674         0.114          1.179       0.00245327   
    L20G012T34-4_G0125T64-0_C9S       2358.568         0.261        1011.646       2891.678       1021.283       1011.646         0.122          1.082       0.00263302   
    L20G012T34-4_G0128T64-1_C9S       1850.026         0.315        1142.527       2604.599       1197.735       1142.527         0.122          1.624       0.00263206   
