         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S              1827.589         0.324         1234.48       2650.908       1270.553        1234.48         0.156          0.559       0.00336416   
          L20G0124T64-1S              5668.862         0.048         824.342       5696.435        287.215        824.342         0.253          3.281        0.0054616   
          L20G0124T64-2S              4255.881         0.271         2462.95       5329.739       1981.289        2462.95         0.257          0.68        0.00554345   
          L20G0124T64-3S              9039.427         0.224        2652.315       10382.026      2996.874       2652.315         0.313          1.392       0.00675523   
          L20G0124T64-4S              5675.371         0.048         825.267       5702.975        287.545        825.267         0.253          3.281        0.0054616   
          L20G0124T64-5S              1828.258         0.324        1234.607       2651.878       1271.018       1234.607         0.156          0.559       0.00336416   
          L20G0124T64-6S              9036.359         0.224        2650.978       10378.503      2995.856       2650.978         0.313          0.718       0.00675751   
          L20G0124T64-7S              4256.277         0.271        2460.215       5330.235       1981.473       2460.215         0.257          0.681       0.00554345   
          L20G0125T64-0S              8018.427         0.108        1700.067        8233.76        996.913       1700.067         0.285          2.128       0.00614902   
          L20G0125T64-1S               7898.34         0.209        2106.941       8878.979       2346.026       2106.941         0.285          0.645        0.0061512   
          L20G0125T64-2S              8519.557         0.254        3717.579       10301.328      3507.423       3717.579         0.315          0.914       0.00681146   
          L20G0125T64-3S               7904.51         0.209        2105.819       8885.915       2347.859       2105.819         0.285          1.552       0.00615472   
          L20G0125T64-4S              8010.375         0.108        1698.315       8225.492        995.912       1698.315         0.285          2.128       0.00614902   
          L20G0125T64-5S              8538.719         0.254         3722.48       10324.497      3515.311        3722.48         0.315          0.915       0.00681123   
          L20G0128T64-0S              4684.527         0.282        2138.737       6017.494       2363.417       2138.737         0.244          0.854       0.00527159   
          L20G0128T64-1S              6438.226         0.277        2809.683       8172.948       3131.268       2809.683         0.285          0.897        0.0061552   
          L20G0128T64-2S               4686.17         0.282        2140.276       6019.605       2364.246       2140.276         0.244          0.854       0.00527159   
          L20G0128T64-3S               6440.81         0.276        2810.807       8157.374       3109.717       2810.807         0.285          0.898        0.0061552   
           L20G012T34-4S              1942.037         0.38         2030.013       3635.456       2228.183       2030.013         0.175          0.347       0.00378382   
    L20G012T34-4_G0124T64-4_C9S       11310.803        0.251        4220.074       13598.425      4557.016       4220.074         0.359          1.071       0.00775693   
    L20G012T34-4_G0125T64-0_C9S       13246.642        0.233        4665.026       15431.098      4687.674       4665.026         0.389          1.151       0.00839931   
    L20G012T34-4_G0128T64-1_C9S       8752.894         0.299        4846.577       11749.908       5011.73       4846.577         0.387          0.695       0.00834945   
    L20G012T34-4_G0128T64-3_C9S       9165.739         0.304        5081.598       12479.956      5451.015       5081.598          0.4           0.692       0.00864639   
    L20G012T34-4_G012T34-7_C6S        4486.615         0.36         4131.713       7540.529       4241.548       4131.713         0.311          0.399       0.00671371   
    L20G012T34-4_G012T64-10_C9S       7687.856         0.326         5249.08       11229.033      5431.253        5249.08          0.4           0.552       0.00863585   
    L20G012T34-4_G012T64-5_C9S        5849.277         0.345        4643.929       9188.815        4839.91       4643.929         0.386          0.468       0.00832853   
    L20G012T34-4_G0138T64-2_C9S       8401.971         0.279        4000.895       10715.776      4146.604       4000.895         0.391          0.821       0.00845267   
    L20G012T34-4_G013T34-0_C6S        6551.295         0.321        4351.781       9406.132       4446.787       4351.781         0.334          0.57        0.00720783   
    L20G012T34-4_G014T64-4_C9S        11652.662        0.288        5841.887       15192.296      6145.199       5841.887         0.425          0.774       0.00917975   
    L20G012T34-4_G0158T64-3_C9S       10117.001        0.287        4734.792       13156.888       5295.97       4734.792         0.418          0.83        0.00902082   
    L20G012T34-4_G0158T64-5_C9S       6218.555         0.285        3245.569       8046.814       3207.471       3245.569         0.365          0.746       0.00788743   
    L20G012T34-4_G015T34-11_C6S       5000.656         0.339        3810.693       7666.409       3931.789       3810.693         0.321          0.49        0.00692396   
    L20G012T34-4_G015T34-2_C6S        8526.106         0.304        4876.677       11609.04       5070.615       4876.677         0.347          0.67        0.00749088   
    L20G012T34-4_G0178T64-2_C9S       10659.462        0.294        5069.543       14115.897      5878.292       5069.543         0.431          0.812       0.00930474   
    L20G012T34-4_G0178T64-3_C9S       5189.247         0.297        2921.747       6927.773       2926.812       2921.747         0.352          0.685       0.00760494   
    L20G012T34-4_G017T34-0_C6S        9461.551         0.297        5095.465       12631.405      5336.454       5095.465         0.353          0.716       0.00763158   
    L20G012T34-4_G017T34-4_C6S         4376.24         0.347        3538.706       6933.065       3684.186       3538.706         0.314          0.459       0.00678188   
    L20G012T34-4_G018T64-1_C9S        6076.288         0.345        4684.572       9545.434       5027.748       4684.572         0.359          0.482       0.00774365   
    L20G012T34-4_G018T64-3_C9S         4731.98         0.306        3733.197       6480.783       2857.521       3733.197         0.374          0.485       0.00808292   
    L20G012T34-4_G018T64-9_C9S        8699.964         0.296        4643.665       11583.104      4870.169       4643.665         0.393          0.723       0.00848989   
    L20G012T34-4_G028T64-1_C9S        5312.749         0.338        3285.831       8112.901       4142.236       3285.831         0.32           0.604       0.00691907   
    L20G012T34-4_G048T64-1_C9S        13232.679        0.213        3673.116       14957.183      4048.132       3673.116         0.416          1.485       0.00899002   
    L20G012T34-4_G058T64-7_C9S        14513.417        0.208        4197.935       16293.526      4279.108       4197.935         0.438          1.431       0.00946531   
     L20G012T34-4_G12T64-0_C9S        14814.832        0.239        6377.375       17431.693      5474.605       6377.375         0.479          0.937       0.01034466   
     L20G012T34-4_G12T64-1_C9S        16219.21         0.251        6444.222       19499.562      6534.566       6444.222         0.483          1.006       0.01042557   
     L20G012T34-4_G12T64-2_C9S        8126.224         0.308        4954.188       11195.82       4983.111       4954.188         0.392          0.627       0.00845827   
     L20G012T34-4_G13T64-0_C9S        10025.447        0.295        5662.468       13311.875      5570.217       5662.468         0.429          0.684       0.00927503   
     L20G012T34-4_G17T64-0_C9S        13828.734        0.242         4927.21       16356.122      5221.875        4927.21         0.424          1.13        0.00915858   
     L20G012T34-4_G17T64-1_C9S        11548.981        0.203        4170.221       12881.01       3280.859       4170.221         0.433          1.151       0.00934905   
           L20G012T34-7S              1946.302         0.382        2031.584       3687.896       2279.573       2031.584         0.175          0.347       0.00378382   
    L20G012T34-7_G0124T64-1_C9S       11320.687        0.251        4218.335       13610.308      4560.998       4218.335         0.359          1.073       0.00775693   
    L20G012T34-7_G0125T64-4_C9S       13261.449        0.233        4666.278       15448.347      4692.914       4666.278         0.389          1.152       0.00839931   
    L20G012T34-7_G0128T64-1_C9S       9171.357         0.304        5081.322       12487.606      5454.357       5081.322          0.4           0.692        0.0086463   
    L20G012T34-7_G0128T64-3_C9S        8751.49          0.3         4846.609       11780.852      5048.937       4846.609         0.387          0.694       0.00834945   
    L20G012T34-7_G012T64-10_C9S       5854.269         0.345        4644.374       9196.657       4844.041       4644.374         0.386          0.469       0.00832867   
    L20G012T34-7_G0138T64-2_C9S       7922.725         0.292        4415.296       10436.431      4304.291       4415.296         0.393          0.694       0.00848613   
    L20G012T34-7_G014T64-0_C9S        11653.438        0.288        5839.308       15193.308      6145.608       5839.308         0.425          0.775       0.00917975   
    L20G012T34-7_G0158T64-3_C9S       9487.655         0.297        5170.605       12666.254      5351.177       5170.605         0.419          0.707       0.00905428   
    L20G012T34-7_G0158T64-5_C9S       5983.195         0.292        3588.664       7881.531       3250.575       3588.664         0.367          0.645        0.0079209   
    L20G012T34-7_G0178T64-2_C9S       10065.519         0.3         5483.674       13549.737       5807.03       5483.674         0.432          0.706        0.0093382   
    L20G012T34-7_G0178T64-3_C9S       5164.548         0.296        3225.806       6876.062       2891.072       3225.806         0.354          0.618        0.0076384   
    L20G012T34-7_G018T64-10_C9S       8693.797         0.296        4643.153       11574.893      4866.716       4643.153         0.393          0.722       0.00848989   
    L20G012T34-7_G018T64-3_C9S        6075.122         0.345        4683.948       9543.602       5026.783       4683.948         0.359          0.482       0.00774365   
    L20G012T34-7_G023T34-1_C6S        9284.757         0.251        3934.086       11162.609      3740.741       3934.086         0.33           0.943       0.00712088   
    L20G012T34-7_G025T34-1_C6S        9924.842         0.271        4544.341       12429.112      4620.424       4544.341         0.343          0.859       0.00740558   
    L20G012T34-7_G025T34-4_C6S        8190.176         0.233        3316.396       9540.788        2898.31       3316.396         0.317          1.001       0.00683916   
    L20G012T34-7_G027T34-0_C6S        10134.839        0.276        4818.536       12835.912      4893.248       4818.536         0.349          0.824       0.00754793   
    L20G012T34-7_G027T34-2_C6S        7456.191         0.234        3019.048       8699.995       2657.701       3019.048         0.31           1.001        0.0066978   
    L20G012T34-7_G028T64-0_C9S        5309.094         0.338        3285.298       8107.319       4139.387       3285.298         0.32           0.604       0.00691907   
    L20G012T34-7_G028T64-1_C9S        4073.512         0.319        3087.865       5809.821       2721.487       3087.865         0.332           0.5        0.00717507   
    L20G012T34-7_G058T64-6_C9S        8705.475         0.288        4992.475       11349.866      4590.957       4992.475         0.385          0.677       0.00831366   
    L20G012T34-7_G068T64-3_C9S         7765.19         0.292        4391.758       10228.913      4218.704       4391.758         0.368          0.684       0.00793998   
    L20G012T34-7_G123T64-0_C9S        14499.764        0.204        4627.251       16192.944       4149.95       4627.251         0.385          1.301       0.00832048   
    L20G012T34-7_G123T64-2_C9S        10236.836        0.236        3747.798       11984.136      3701.906       3747.798         0.324          1.105       0.00700817   
     L20G012T34-7_G12T64-0_C9S        16225.475        0.251        6446.574       19507.094       6537.09       6446.574         0.483          1.006       0.01042933   
     L20G012T34-7_G12T64-1_C9S        14825.36         0.239        6382.831       17444.081      5478.496       6382.831         0.479          0.937       0.01034466   
     L20G012T34-7_G12T64-2_C9S        8102.892         0.308        4950.175       11163.675      4968.803       4950.175         0.391          0.626       0.00844699   
     L20G012T34-7_G17T64-1_C9S        13829.677        0.242        4928.957       16357.237      5222.231       4928.957         0.424          1.13        0.00915858   
           L20G012T64-0S              4725.533         0.105         491.741       4844.896        568.396        491.741         0.13           4.348       0.00279936   
    L20G012T64-0_G013T34-0_C9S        8241.508         0.227        2382.489       9509.309       2792.514       2382.489         0.294          1.41        0.00636002   
    L20G012T64-0_G013T34-1_C9S        8622.864         0.227        2730.851        9949.33       2921.731       2730.851         0.294          1.287       0.00636002   
    L20G012T64-0_G015T34-11_C9S       7312.888         0.205        1934.595       8177.433       2108.646       1934.595         0.275          1.568       0.00594887   
    L20G012T64-0_G015T34-15_C9S       9509.688         0.253         3177.03       11476.484      3886.948        3177.03         0.314          1.194        0.0067788   
    L20G012T64-0_G015T34-2_C9S         9286.53         0.252        2899.165       11185.852      3768.496       2899.165         0.314          1.279        0.0067788   
    L20G012T64-0_G015T34-6_C9S        7742.127          0.2         2234.527       8602.363       2150.591       2234.527         0.275          1.444       0.00594042   
    L20G012T64-0_G017T34-0_C9S        9743.148         0.263        3165.505       11994.581      4280.292       3165.505         0.323          1.218       0.00698736   
    L20G012T64-0_G017T34-1_C9S        7292.162         0.186        1982.326       7969.597       1821.063       1982.326         0.265          1.551       0.00573048   
    L20G012T64-0_G017T34-4_C9S        6897.758         0.195        1719.547       7617.388       1845.206       1719.547         0.266          1.678       0.00574175   
    L20G012T64-0_G017T34-5_C9S        9928.871         0.26         3355.637       12148.42       4268.364       3355.637         0.323          1.174       0.00698736   
    L20G012T64-0_G023T34-1_C9S        10367.983        0.186        1467.966       11331.159      2589.184       1467.966         0.29           2.978       0.00626727   
    L20G012T64-0_G023T34-2_C9S        10776.538        0.182        1947.724       11726.218      2609.012       1947.724         0.29           2.34        0.00625328   
    L20G012T64-0_G025T34-1_C9S        10957.437        0.208        1957.574       12301.396       3230.67       1957.574         0.309          2.317       0.00668014   
    L20G012T64-0_G025T34-2_C9S        9790.502         0.151        1617.472       10346.225      1840.141       1617.472         0.27           2.629       0.00583583   
    L20G012T64-0_G025T34-4_C9S        9422.283         0.151        1049.734       9957.105       1770.934       1049.734         0.271          3.899        0.0058518   
    L20G012T64-0_G025T34-5_C9S        11295.171        0.203        2234.127       12597.926      3208.757       2234.127         0.309          2.101        0.0066737   
    L20G012T64-0_G027T34-0_C9S        11103.906        0.212        2147.805       12533.631      3371.992       2147.805         0.319          2.133       0.00688804   
    L20G012T64-0_G027T34-1_C9S        9161.025         0.138        1451.377       9584.523       1534.413       1451.377         0.26           2.773       0.00562661   
    L20G012T64-0_G027T34-2_C9S        8840.825         0.135         901.988       9229.755       1440.482        901.988         0.261          4.318       0.00564324   
    L20G012T64-0_G027T34-3_C9S        11335.93         0.205        2308.148       12676.087      3268.677       2308.148         0.319          2.038       0.00688474   
     L20G012T64-0_G18T34-1_C9S        8019.667         0.239         2290.86       9436.244       2963.551        2290.86         0.287          1.413       0.00619947   
          L20G012T64-10S              4308.181         0.331        2864.934       6406.566       3169.766       2864.934         0.292          0.565       0.00629681   
    L20G012T64-10_G013T34-1_C9S       11008.998        0.27         5269.417       13756.536      5088.034       5269.417         0.406          0.823       0.00875921   
   L20G012T64-10_G015T34-15_C9S       12095.929        0.276        5713.868       15319.659      5840.091       5713.868         0.423          0.83        0.00914624   
    L20G012T64-10_G017T34-5_C9S       12563.054        0.282        5958.553       16137.831      6338.257       5958.553         0.433          0.822        0.0093454   
    L20G012T64-10_G023T34-2_C9S       12297.244        0.258        4453.869       14985.999      5210.765       4453.869         0.389          1.097       0.00839549   
    L20G012T64-10_G025T34-5_C9S        12635.1         0.264        4736.421       15587.175      5591.052       4736.421         0.406          1.055       0.00877222   
    L20G012T64-10_G027T34-3_C9S       12750.262        0.267        4885.932       15829.258       5765.91       4885.932         0.415          1.03         0.0089687   
           L20G012T64-1S              16858.367        0.254        6182.892       20384.107      6940.433       6182.892         0.458          1.087       0.00989896   
           L20G012T64-2S               4463.7          0.099         462.566       4562.971        501.37         462.566         0.124          4.39        0.00268739   
    L20G012T64-2_G013T34-0_C9S        8140.898         0.256        3032.195       9881.794       3400.187       3032.195         0.289          1.069       0.00624805   
    L20G012T64-2_G015T34-11_C9S       7189.709         0.237        2663.521       8431.026       2618.811       2663.521         0.27           1.091       0.00583689   
    L20G012T64-2_G015T34-2_C9S        9259.083         0.265        3313.735       11446.348      4126.914       3313.735         0.308          1.104       0.00664993   
    L20G012T64-2_G017T34-0_C9S        9899.749         0.264        3456.278       12212.735      4380.655       3456.278         0.317          1.133       0.00684159   
    L20G012T64-2_G017T34-4_C9S        6788.034         0.225        2419.334       7808.128       2266.876       2419.334         0.261          1.145       0.00562977   
    L20G012T64-2_G023T34-2_C9S        9356.876         0.159        1199.361       9955.408       1882.176       1199.361         0.271          3.366       0.00585918   
    L20G012T64-2_G025T34-2_C9S        8258.817         0.112         814.144       8498.931       1071.937        814.144         0.252          4.561       0.00544174   
    L20G012T64-2_G025T34-5_C9S        9899.808         0.191        1571.753       10881.157      2568.975       1571.753         0.291          2.644       0.00627961   
    L20G012T64-2_G027T34-1_C9S        7607.903         0.098         683.254       7773.438        844.564        683.254         0.242          5.07        0.00523251   
    L20G012T64-2_G027T34-3_C9S        9978.593         0.194         1686.86       11006.484      2649.203        1686.86          0.3           2.477       0.00649065   
           L20G012T64-5S              4309.508         0.332         2867.8        6432.216        3196.85        2867.8          0.292          0.564       0.00629776   
    L20G012T64-5_G012T34-7_C9S        7695.765         0.326        5251.333       11240.585      5436.841       5251.333          0.4           0.553       0.00863681   
    L20G012T64-5_G013T34-0_C9S        11020.182        0.27         5270.434       13770.512      5093.203       5270.434         0.406          0.823       0.00876017   
    L20G012T64-5_G015T34-2_C9S        12103.865        0.276        5712.698       15329.71       5843.923       5712.698         0.423          0.83         0.0091472   
    L20G012T64-5_G017T34-0_C9S        12569.462        0.282        5960.699       16146.062       6341.49       5960.699         0.433          0.822       0.00934636   
    L20G012T64-5_G023T34-1_C9S        12303.981        0.257        4454.574       14964.524      5176.154       4454.574         0.389          1.099       0.00839549   
    L20G012T64-5_G025T34-1_C9S        12632.233        0.264        4737.668       15583.639      5589.783       4737.668         0.406          1.055       0.00877222   
    L20G012T64-5_G027T34-0_C9S        12751.813        0.267        4885.351       15831.183      5766.611       4885.351         0.415          1.03         0.0089687   
