         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
      L20G0T13-0_G0T33-4_C4ES          276.09          0.471        1214.399       1705.359       1517.655       1214.399         0.067          12.94       0.00145799   
          L20G0124T64-0S               262.588         0.318         193.622        373.287        174.054        193.622         0.031          0.514       0.00066399   
          L20G0124T64-1S               517.771        -0.021         74.308         518.219        -10.659        74.308          0.049          3.559       0.00105455   
          L20G0124T64-2S               595.875         0.261         377.048        730.561        258.02         377.048         0.051          0.627       0.00110516   
          L20G0124T64-3S               1001.95         0.183         298.926       1091.426        244.469        298.926         0.065          1.417       0.00140182   
          L20G0124T64-4S               516.446         -0.02         75.539         516.851        -10.134        75.539          0.049          3.488       0.00105455   
          L20G0124T64-5S               262.465         0.317         193.586        371.899        172.609        193.586         0.031          0.515       0.00066399   
          L20G0124T64-6S               999.913         0.182         299.109        1088.03        242.08         299.109         0.065          0.707       0.00140182   
          L20G0124T64-7S               596.405         0.261         376.922        731.211        258.249        376.922         0.051          0.627       0.00110516   
          L20G0125T64-0S               689.351        -0.024         126.762        690.127        -16.175        126.762         0.054          2.786       0.00117508   
          L20G0125T64-1S               886.779         0.153         209.254        938.664        169.558        209.254         0.058          0.544       0.00124842   
          L20G0125T64-2S               746.607         0.277         435.352        947.774        363.117        435.352         0.059          0.671       0.00126764   
          L20G0125T64-3S               888.256         0.155         210.032        941.811        172.758        210.032         0.058          1.831       0.00124846   
          L20G0125T64-4S               688.97         -0.023         127.858        689.683        -15.506        127.858         0.054          2.758       0.00117509   
          L20G0125T64-5S               743.532         0.275         436.582        939.539        356.377        436.582         0.059          0.668       0.00126764   
          L20G0128T64-0S               407.668         0.321         286.403        585.316        276.711        286.403         0.048          0.539        0.0010275   
          L20G0128T64-1S               791.511         0.252         345.673        953.394        321.197        345.673         0.054          0.914       0.00117502   
          L20G0128T64-2S               406.587         0.319         285.831        579.892        271.638        285.831         0.048          0.539        0.0010275   
          L20G0128T64-3S               788.737         0.249         343.262        944.726        313.231        343.262         0.054          0.92        0.00117503   
           L20G012T34-4S               285.035         0.395         314.616        588.654        384.328        314.616         0.031          0.325       0.00067763   
    L20G012T34-4_G0124T64-4_C9S        1273.18         0.286         617.127       1651.594        661.563        617.127         0.078          0.802       0.00168034   
    L20G012T34-4_G0125T64-0_C9S       1441.418         0.27          640.359       1801.156        666.181        640.359         0.083          0.886       0.00180066   
    L20G012T34-4_G0128T64-1_C9S       1173.807         0.316         734.848       1657.865        765.914        734.848         0.083          0.607       0.00180034   
    L20G012T34-4_G0128T64-3_C9S       1205.129         0.326         773.145       1760.235        851.39         773.145         0.084          0.588       0.00181279   
    L20G012T34-4_G012T34-7_C6S         679.404         0.374         738.59         1228.33        733.859        738.59          0.062          0.335       0.00132971   
    L20G012T34-4_G012T64-10_C9S        916.231         0.365         869.913       1578.637        907.406        869.913         0.093          0.386       0.00200039   
