         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
    L20G012T34-7_G0124T64-1_C9S       7945.688         0.256        3094.155       9644.839       3318.654       3094.155         0.291          1.022       0.00627707   
    L20G012T34-7_G0125T64-4_C9S       9275.135         0.237        3398.573       10876.504      3378.416       3398.573         0.314          1.103       0.00678554   
    L20G012T34-7_G0128T64-1_C9S       6525.302         0.313         3762.12       9128.954       4159.189        3762.12         0.322          0.661       0.00695644   
    L20G012T34-7_G0128T64-3_C9S       6314.688         0.305        3609.251       8623.063       3784.222       3609.251         0.313          0.67        0.00676394   
    L20G012T34-7_G012T64-10_C9S       4171.899         0.353        3522.212       6785.673        3702.23       3522.212         0.32           0.438       0.00691521   
    L20G012T34-7_G012T64-9_C9S        14326.03         0.272        6306.476       17980.646      6718.043       6306.476         0.451          0.893       0.00974556   
    L20G012T34-7_G0138T64-2_C9S       4619.857         0.313        3182.115        6463.22       2944.669       3182.115         0.311          0.553       0.00672054   
    L20G012T34-7_G014T64-0_C9S        7933.458         0.301        4372.885       10709.75       4611.781       4372.885         0.346          0.697       0.00746419   
    L20G012T34-7_G0158T64-3_C9S       5630.316         0.322        3809.226       8111.123       3852.185       3809.226         0.335          0.559       0.00722583   
    L20G012T34-7_G0158T64-5_C9S       3418.766         0.315        2525.141       4813.184       2213.362       2525.141         0.288          0.515       0.00621636   
    L20G012T34-7_G0178T64-2_C9S       5927.321         0.327        4062.635       8688.134       4221.426       4062.635         0.346          0.55         0.0074784   
    L20G012T34-7_G0178T64-3_C9S       2906.677         0.323        2251.172       4201.674       2004.639       2251.172         0.276          0.488       0.00596447   
    L20G012T34-7_G018T64-10_C9S       6530.092         0.301        3510.943        8815.28       3795.993       3510.943         0.326          0.715       0.00703871   
    L20G012T34-7_G018T64-3_C9S        4389.975         0.351        3507.054       7076.771       3827.344       3507.054         0.286          0.463       0.00618307   
    L20G012T34-7_G023T34-1_C6S        6849.203         0.248        2894.701       8188.658       2700.515       2894.701         0.257          0.948       0.00554637   
    L20G012T34-7_G025T34-1_C6S        7325.212         0.27         3377.425        9153.38       3385.497       3377.425         0.268          0.854       0.00578949   
    L20G012T34-7_G025T34-4_C6S        5995.599         0.23         2407.338       6950.634       2076.163       2407.338         0.246          1.012       0.00530444   
    L20G012T34-7_G027T34-0_C6S        7498.918         0.275        3601.992       9475.757       3594.253       3601.992         0.274          0.816       0.00591105   
    L20G012T34-7_G027T34-2_C6S        5410.958         0.233        2172.728        6303.26        1914.81       2172.728         0.24           1.01        0.00518327   
    L20G012T34-7_G028T64-0_C9S         3388.28         0.358        2404.769       5640.222       3145.171       2404.769         0.254          0.519        0.0054851   
    L20G012T34-7_G028T64-1_C9S        2372.686         0.348        2246.709       3775.065       2014.912       2246.709         0.261          0.392       0.00564065   
    L20G012T34-7_G058T64-6_C9S        5743.638         0.299        3671.838       7710.275       3288.691       3671.838         0.304          0.602       0.00656182   
    L20G012T34-7_G068T64-3_C9S        5118.087         0.304        3221.948       6968.724        3043.81       3221.948         0.291          0.609       0.00628141   
    L20G012T34-7_G123T64-0_C9S        10638.387        0.196        3353.839       11762.431      2867.458       3353.839         0.302          1.326       0.00653171   
    L20G012T34-7_G123T64-2_C9S        7124.609         0.239        2702.588       8383.085       2632.795       2702.588         0.252          1.064       0.00543788   
     L20G012T34-7_G12T64-0_C9S        10860.759        0.249        4341.085       13008.702      4313.138       4341.085         0.378          1.002       0.00817411   
     L20G012T34-7_G12T64-1_C9S        9935.386         0.237         4318.11       11650.749      3618.909        4318.11         0.376          0.93         0.008127    
     L20G012T34-7_G12T64-2_C9S        5256.792         0.317        3423.728        7448.6         3457.11       3423.728         0.304          0.583       0.00655851   
     L20G012T34-7_G17T64-1_C9S        9513.111         0.242         3314.26       11251.76       3592.251        3314.26         0.333          1.156       0.00719767   
           L20G012T64-0S              3540.345          0.1          354.691       3620.807        402.312        354.691         0.098          4.537       0.00212139   
    L20G012T64-0_G013T34-0_C9S        6003.501         0.227        1693.137       6927.027       2034.198       1693.137         0.227          1.445       0.00489748   
    L20G012T64-0_G013T34-1_C9S        6241.745         0.229        1918.726       7224.524       2145.805       1918.726         0.227          1.323       0.00489748   
    L20G012T64-0_G015T34-11_C9S       5362.434         0.204        1373.123       5988.621       1534.772       1373.123         0.212          1.622       0.00457915   
    L20G012T64-0_G015T34-15_C9S       6850.228         0.254        2221.236       8282.877       2820.175       2221.236         0.242          1.23        0.00521903   
    L20G012T64-0_G015T34-2_C9S        6689.255         0.254        2040.238       8088.238       2753.904       2040.238         0.242          1.307       0.00521903   
    L20G012T64-0_G015T34-6_C9S        5613.779          0.2         1578.662       6237.532       1559.383       1578.662         0.212          1.482       0.00457558   
