         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S              1651.336         0.324        1129.271       2395.254       1148.021       1129.271         0.145          0.552       0.00313515   
          L20G0124T64-1S               5073.28         0.043         740.001        5092.96        228.837        740.001         0.235          3.287       0.00507897   
          L20G0124T64-2S              3845.404         0.27         2246.463       4805.109       1777.232       2246.463         0.239          0.674        0.0051727   
          L20G0124T64-3S              8145.396         0.224        2401.621       9355.208       2700.472       2401.621         0.294          1.385       0.00634154   
          L20G0124T64-4S              5068.399         0.043         740.21         5088.06        228.617        740.21          0.235          3.282       0.00507897   
          L20G0124T64-5S              1650.018         0.324         1128.64       2393.342       1147.105        1128.64         0.145          0.552       0.00313515   
          L20G0124T64-6S              8145.027         0.224        2401.691       9354.784        2700.35       2401.691         0.294          0.722       0.00634184   
          L20G0124T64-7S              3853.666         0.27         2247.778       4815.433       1781.051       2247.778         0.239          0.675        0.0051727   
          L20G0125T64-0S              7094.571         0.102        1508.452       7262.862        824.958       1508.452         0.265          2.134       0.00571439   
          L20G0125T64-1S              7094.745         0.208        1887.704       7964.934       2091.801       1887.704         0.266          0.643       0.00575617   
          L20G0125T64-2S              7573.418         0.255         3351.28       9175.049       3140.453        3351.28         0.292           0.9        0.00631383   
          L20G0125T64-3S              7098.718         0.208        1889.264       7969.394       2092.972       1889.264         0.266          1.555       0.00575407   
          L20G0125T64-4S              7090.515         0.101        1507.926       7255.164        815.096       1507.926         0.265          2.135       0.00571439   
          L20G0125T64-5S              7571.936         0.254        3350.181       9155.522       3117.296       3350.181         0.292          0.901       0.00631302   
          L20G0128T64-0S              4183.398         0.283        1929.531       5386.814       2126.176       1929.531         0.227          0.845       0.00491232   
          L20G0128T64-1S               5790.84         0.277        2539.913        7351.13       2816.408       2539.913         0.265          0.893       0.00571889   
          L20G0128T64-2S              4180.905         0.283        1928.653       5383.604       2124.909       1928.653         0.227          0.845       0.00491232   
          L20G0128T64-3S              5788.095         0.277        2541.543       7347.645       2815.073       2541.543         0.265          0.892       0.00571889   
           L20G012T34-4S              1759.014         0.383        1853.318        3353.64       2081.757       1853.318         0.162          0.343       0.00349379   
    L20G012T34-4_G0124T64-4_C9S       10186.752        0.252        3846.073       12270.191      4133.808       3846.073         0.338          1.058       0.00729026   
    L20G012T34-4_G0125T64-0_C9S       11923.997        0.234         4249.11       13913.098      4250.215        4249.11         0.365          1.137       0.00789099   
    L20G012T34-4_G0128T64-1_C9S       7930.537         0.302        4436.675       10736.231      4645.189       4436.675         0.364          0.686       0.00785231   
    L20G012T34-4_G0128T64-3_C9S       8279.384         0.307        4646.745       11372.825      5038.178       4646.745         0.376          0.682       0.00811453   
    L20G012T34-4_G012T34-7_C6S         4042.29         0.362        3813.422       6860.598        3892.69       3813.422         0.29           0.389       0.00626448   
