         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S               828.063         0.323         598.225       1196.986        571.088        598.225         0.086          1.912       0.00186004   
          L20G0124T64-1S              2169.803         0.014         333.088       2170.666        30.821         333.088         0.138          0.311       0.00298054   
          L20G0124T64-2S              1922.056         0.265        1181.862       2376.102        856.69        1181.862         0.143          1.556       0.00308562   
          L20G0124T64-3S              3731.342         0.207        1132.173       4183.438        1092.02       1132.173         0.179          0.732       0.00387069   
          L20G0124T64-4S              2175.448         0.014         333.393       2176.313        30.901         333.393         0.138          0.311       0.00298054   
          L20G0124T64-5S               827.726         0.322         597.891       1192.435        566.319        597.891         0.086          1.91        0.00186004   
          L20G0124T64-6S               3731.33         0.208         1131.11       4188.987       1100.138        1131.11         0.179          0.732       0.00387069   
          L20G0124T64-7S              1925.992         0.265         1182.79       2380.967        858.444        1182.79         0.143          1.554       0.00308562   
          L20G0125T64-0S              2976.846         0.055         640.135       2996.027        174.372        640.135         0.155          0.454        0.0033379   
          L20G0125T64-1S              3282.647         0.188         847.993       3595.665        832.494        847.993         0.161          0.614       0.00346817   
          L20G0125T64-2S              3238.984         0.259        1610.118       3955.071       1382.407       1610.118         0.169          1.252       0.00363999   
          L20G0125T64-3S              3278.125         0.187         847.167       3586.667        824.977        847.167         0.161          0.614       0.00346828   
          L20G0125T64-4S               2974.37         0.055         640.841       2993.535        174.227        640.841         0.155          0.455        0.0033379   
          L20G0125T64-5S              3235.351         0.258        1608.591       3942.751       1370.929       1608.591         0.169          1.251       0.00363989   
          L20G0128T64-0S              1793.341         0.298         957.997       2400.733       1019.115        957.997         0.134          1.387       0.00290111   
          L20G0128T64-1S              2799.577         0.271        1251.127       3505.976       1303.319       1251.127         0.155          1.136       0.00333819   
          L20G0128T64-2S              1790.655         0.298         958.191       2397.138       1017.588        958.191         0.134          1.389       0.00290111   
          L20G0128T64-3S              2798.517         0.271        1250.589       3504.648       1302.825       1250.589         0.155          1.136       0.00333819   
           L20G012T34-4S               898.425         0.39          976.002       1792.149        1145.8         976.002         0.091          3.02        0.00197568   
    L20G012T34-4_G0124T64-4_C9S       4769.903         0.266        1991.328       5909.164       2141.468       1991.328         0.21           1.057       0.00452741   
    L20G012T34-4_G0125T64-0_C9S       5502.329         0.246        2156.777       6554.448       2138.454       2156.777         0.226          0.977       0.00487915   
