         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
     L20G0T34-0_G01T34-10_C6ES        11012.534        0.257        4129.192       13393.822      4632.856       4129.192         0.323          0.943       0.00698083   
          L20G0124T64-0S              1141.562         0.324         808.226       1655.829        793.622        808.226         0.111          1.875       0.00239742   
          L20G0124T64-1S              3276.461         0.028         496.601       3281.755        94.536         496.601         0.179          0.312       0.00385862   
          L20G0124T64-2S              2663.115         0.268        1609.039       3313.323       1213.075       1609.039         0.184          1.532       0.00396911   
          L20G0124T64-3S              5405.208         0.216         1615.27       6135.452        1690.38        1615.27         0.229          0.727       0.00494165   
          L20G0124T64-4S              3283.185         0.028         495.422        3288.49         94.73         495.422         0.179          0.31        0.00385862   
          L20G0124T64-5S              1141.408         0.324         808.315       1655.606        793.515        808.315         0.111          1.875       0.00239742   
          L20G0124T64-6S              5409.948         0.217        1614.158       6149.614       1704.299       1614.158         0.229          0.726       0.00494027   
          L20G0124T64-7S              2665.706         0.267        1607.963       3309.434       1205.483       1607.963         0.184          1.529       0.00396911   
          L20G0125T64-0S              4529.987         0.078         973.904       4590.571        388.356        973.904          0.2           0.464       0.00433034   
          L20G0125T64-1S              4734.205         0.199        1244.716       5253.683       1305.222       1244.716         0.206          0.63        0.00444579   
          L20G0125T64-2S              4805.305         0.256        2272.753       5832.899       2007.019       2272.753         0.22           1.188       0.00474655   
          L20G0125T64-3S              4739.514         0.199        1244.351       5259.575       1306.686       1244.351         0.206          0.63        0.00444653   
          L20G0125T64-4S              4536.183         0.078         972.701       4596.849        388.887        972.701          0.2           0.462       0.00433034   
          L20G0125T64-5S              4809.734         0.256        2273.417       5838.275       2008.869       2273.417         0.22           1.187       0.00474655   
          L20G0128T64-0S              2705.148         0.29         1332.147       3544.952       1447.938       1332.147         0.174          1.271       0.00374902   
          L20G0128T64-1S               3941.1          0.275        1754.015       4980.039        1888.98       1754.015         0.201          1.135        0.0043316   
          L20G0128T64-2S              2710.034         0.289        1331.933       3542.248       1439.817       1331.933         0.174          1.267       0.00374902   
          L20G0128T64-3S              3944.994         0.276        1751.768       4996.389       1904.701       1751.768         0.201          1.133        0.0043316   
           L20G012T34-4S              1227.707         0.387        1318.078       2400.879       1515.726       1318.078         0.12           2.978       0.00259664   
    L20G012T34-4_G0124T64-4_C9S        6842.21         0.259        2725.581       8354.911       2920.273       2725.581         0.265          1.003       0.00572653   
    L20G012T34-4_G0125T64-0_C9S       7960.514         0.239        2981.045       9366.643       2941.692       2981.045         0.286          0.928       0.00618491   
    L20G012T34-4_G0128T64-1_C9S       5515.244         0.307        3189.926       7575.915       3356.141       3189.926         0.286          1.512       0.00616956   
    L20G012T34-4_G0128T64-3_C9S        5675.31         0.314        3321.212        7964.81        3645.7        3321.212         0.293          1.538        0.0063284   
