         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S               681.288         0.322         495.259        981.474        466.128        495.259         0.073          1.922       0.00157669   
          L20G0124T64-1S               1714.85         0.007         263.462       1715.019         12.09         263.462         0.117          0.309        0.0025209   
          L20G0124T64-2S              1573.519         0.264         975.849       1941.157        696.285        975.849         0.121          1.568       0.00261795   
          L20G0124T64-3S              2962.416         0.201         897.789       3295.707        829.083        897.789         0.153          0.728       0.00329508   
          L20G0124T64-4S              1702.582         0.007         263.094        1702.75        12.003         263.094         0.117          0.311       0.00252089   
          L20G0124T64-5S               682.35          0.321         495.424        979.696        463.155        495.424         0.073          1.918       0.00157669   
          L20G0124T64-6S              2962.345         0.202         897.813       3299.801        835.288        897.813         0.153          0.729       0.00329508   
          L20G0124T64-7S              1576.022         0.263         976.442       1940.207        692.367        976.442         0.121          1.565       0.00261795   
          L20G0125T64-0S              2301.012         0.037         483.467       2307.573        88.661         483.467         0.131          0.436       0.00281988   
          L20G0125T64-1S              2614.072         0.181         670.436        2841.39        627.951        670.436         0.136          0.606       0.00294696   
          L20G0125T64-2S              2438.703         0.261        1273.867       2989.926       1055.982       1273.867         0.142          1.317       0.00306693   
          L20G0125T64-3S              2612.901         0.18          670.839       2837.101        622.778        670.839         0.136          0.606        0.002947    
          L20G0125T64-4S              2302.626         0.037         484.291       2309.191        88.723         484.291         0.131          0.436       0.00281988   
          L20G0125T64-5S              2444.482         0.262        1275.828       3003.149       1066.159       1275.828         0.142          1.317       0.00306693   
          L20G0128T64-0S               1370.42         0.307         781.172       1882.453        833.929        781.172         0.114          1.49         0.0024551   
          L20G0128T64-1S              2252.846         0.269         1005.13       2808.958       1033.666        1005.13         0.131          1.132       0.00281994   
          L20G0128T64-2S              1370.443         0.305         780.783       1871.417        821.27         780.783         0.114          1.487        0.0024551   
          L20G0128T64-3S              2249.463         0.268        1002.307       2798.676       1024.652       1002.307         0.131          1.13        0.00281994   
           L20G012T34-4S               736.699         0.39          804.109       1469.543        939.544        804.109         0.077          3.034       0.00165824   
    L20G012T34-4_G0124T64-4_C9S        3786.34         0.271        1638.973       4741.722       1762.698       1638.973         0.179           1.1        0.00387479   
    L20G012T34-4_G0125T64-0_C9S       4354.207         0.252        1764.436       5244.748       1766.947       1764.436         0.193          1.015       0.00417052   
    L20G012T34-4_G0128T64-1_C9S       3224.182         0.313        1942.276       4510.659       2055.074       1942.276         0.193          1.582       0.00416652   
    L20G012T34-4_G0128T64-3_C9S       3297.686         0.32         2009.676       4718.911       2220.664       2009.676         0.196          1.609       0.00423643   
    L20G012T34-4_G012T34-7_C6S         1746.65         0.37         1813.363       3089.246       1814.319       1813.363         0.146          2.845        0.0031602   
    L20G012T34-4_G012T64-10_C9S       2612.466         0.355        2204.241       4288.181       2360.161       2204.241         0.21           2.287       0.00452837   
    L20G012T34-4_G012T64-5_C9S        2129.967         0.359        1953.468       3562.561       1995.257       1953.468         0.205          2.493       0.00443683   
    L20G012T34-4_G012T64-9_C9S        8937.426         0.273        3829.933       11242.493      4221.734       3829.933         0.288          1.091       0.00622653   
    L20G012T34-4_G0138T64-2_C9S       1868.225         0.342        1478.255       2898.781       1506.661       1478.255         0.185          2.124       0.00400443   
    L20G012T34-4_G013T34-0_C6S        2285.523         0.338        1720.041       3490.137       1781.973       1720.041         0.151          2.014        0.003255    
    L20G012T34-4_G014T64-4_C9S        3621.039         0.325        2399.357       5270.515       2537.655       2399.357         0.215          1.756       0.00464098   
    L20G012T34-4_G0158T64-3_C9S       2309.189         0.349        1814.462       3689.959       1978.181       1814.462         0.201          2.12        0.00435111   
    L20G012T34-4_G0158T64-5_C9S       1306.917         0.352        1140.811        2116.19       1149.535       1140.811         0.169          2.36        0.00365794   
    L20G012T34-4_G015T34-11_C6S       1685.588         0.358        1482.469       2805.875       1564.647       1482.469         0.143          2.389       0.00309638   
    L20G012T34-4_G015T34-2_C6S        3164.331         0.313         1965.74       4426.927       2016.926        1965.74         0.158          1.631       0.00341357   
