Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness1,Thickness2
L20G013T34-0_G028T64-1_C9S,1731.012,0.326,1423.211,2528.35,1222.911,1423.211,0.184,2.18,0.00396529,0.6,0.6
L20G013T34-0_G046T64-0_C9S,4632.323,0.215,1392.209,5250.702,1438.09,1392.209,0.204,0.73,0.00439874,0.6,0.6
L20G013T34-0_G048T64-0_C9S,5969.844,0.183,1487.946,6502.959,1456.599,1487.946,0.236,0.59,0.00509745,0.6,0.6
L20G013T34-0_G058T64-2_C9S,6453.539,0.163,1632.008,6891.024,1341.98,1632.008,0.247,0.588,0.00533778,0.6,0.6
L20G013T34-0_G058T64-6_C9S,3290.703,0.309,2169.209,4547.406,2033.5,2169.209,0.206,1.726,0.00444381,0.6,0.6
L20G013T34-0_G067T64-0_C9S,5559.525,0.26,2341.526,6802.329,2390.007,2341.526,0.233,1.061,0.00503843,0.6,0.6
L20G013T34-0_G068T64-0_C9S,7451.05,0.23,1926.97,8637.923,2580.159,1926.97,0.256,0.636,0.00553142,0.6,0.6
L20G013T34-0_G068T64-3_C9S,2825.327,0.317,1854.422,4003.341,1858.066,1854.422,0.197,1.729,0.00425681,0.6,0.6
L20G013T34-0_G123T64-0_C9S,6549.001,0.193,2065.274,7215.057,1725.534,2065.274,0.212,0.752,0.00458046,0.6,0.6
L20G013T34-0_G123T64-1_C9S,7570.771,0.225,2323.028,8708.494,2528.272,2323.028,0.211,0.752,0.00456762,0.6,0.6
L20G013T34-0_G123T64-2_C9S,3744.862,0.27,1707.202,4679.475,1730.765,1707.202,0.175,1.158,0.0037748,0.6,0.6
L20G013T34-0_G12T64-0_C9S,5825.826,0.227,2133.07,6722.02,1973.996,2133.07,0.259,0.899,0.00559146,0.6,0.6
L20G013T34-0_G12T64-1_C9S,6371.232,0.231,2231.658,7397.917,2222.261,2231.658,0.261,0.862,0.00564781,0.6,0.6
L20G013T34-0_G12T64-2_C9S,4016.053,0.267,1852.663,4985.869,1816.135,1852.663,0.208,1.169,0.00449914,0.6,0.6
L20G013T34-0_G17T64-1_C9S,4649.805,0.201,1246.213,5172.939,1301.327,1246.213,0.228,0.644,0.00492051,0.6,0.6
L20G013T34-1S,1272.885,0.344,828.774,1991.311,1044.224,828.774,0.093,1.75,0.0020036,0.6,0.6
L20G013T34-1_G0128T64-2_C9S,3545.254,0.307,1931.076,4869.874,2157.361,1931.076,0.221,1.424,0.00477558,0.6,0.6
L20G013T34-1_G0128T64-3_C9S,5063.615,0.279,2360.457,6458.076,2499.033,2360.457,0.231,1.192,0.00500036,0.6,0.6
L20G013T34-1_G023T64-3_C9S,7212.368,0.27,3291.7,9012.374,3333.344,3291.7,0.255,1.159,0.00550996,0.6,0.6
L20G013T34-1_G025T64-0_C9S,2848.259,0.32,1991.654,4075.791,1918.02,1991.654,0.183,1.846,0.00396027,0.6,0.6
L20G013T34-1_G046T64-1_C9S,4636.764,0.215,1393.082,5255.736,1439.469,1393.082,0.204,0.73,0.00439874,0.6,0.6
L20G013T34-1_G048T64-1_C9S,5969.575,0.183,1488.795,6502.666,1456.534,1488.795,0.236,0.59,0.00509745,0.6,0.6
L20G013T34-1_G058T64-7_C9S,6453.781,0.163,1631.983,6891.283,1342.03,1631.983,0.247,0.588,0.00533778,0.6,0.6
L20G013T34-1_G067T64-1_C9S,5553.068,0.26,2341.225,6794.428,2387.232,2341.225,0.233,1.062,0.00503843,0.6,0.6
L20G013T34-1_G068T64-2_C9S,7448.31,0.23,1926.739,8634.747,2579.21,1926.739,0.256,0.636,0.00553141,0.6,0.6
L20G013T34-1_G123T64-0_C9S,7574.636,0.225,2323.931,8712.939,2529.563,2323.931,0.211,0.752,0.00456762,0.6,0.6
L20G013T34-1_G12T64-0_C9S,6364.555,0.231,2231.031,7390.164,2219.932,2231.031,0.261,0.863,0.00564781,0.6,0.6
L20G013T34-1_G12T64-1_C9S,5827.437,0.226,2133.965,6713.477,1960.266,2133.965,0.259,0.898,0.00558939,0.6,0.6
L20G013T34-1_G12T64-2_C9S,4007.903,0.266,1846.819,4965.165,1799.365,1846.819,0.208,1.167,0.00449861,0.6,0.6
L20G0145T64-0S,783.04,0.294,328.366,1036.948,431.817,328.366,0.08,1.085,0.00172929,0.6,0.6
L20G0145T64-1S,782.464,0.296,330.347,1041.77,438.017,330.347,0.08,1.094,0.00172929,0.6,0.6
L20G014T64-0S,2718.737,0.304,1598.724,3701.799,1616.878,1598.724,0.186,1.534,0.00402126,0.6,0.6
L20G014T64-0_G015T34-2_C9S,5758.402,0.276,2819.396,7293.095,2780.241,2819.396,0.261,1.249,0.00564319,0.6,0.6
L20G014T64-0_G017T34-0_C9S,5897.922,0.284,2941.978,7613.131,3019.733,2941.978,0.266,1.281,0.00575234,0.6,0.6
L20G014T64-2S,1026.064,-0.589,255.174,1821.372,-675.134,255.174,0.144,0.204,0.00311293,0.6,0.6
L20G014T64-2_G015T34-11_C9S,3366.2,0.043,945.229,3379.258,151.837,945.229,0.216,0.586,0.00466122,0.6,0.6
L20G014T64-2_G015T34-2_C9S,4361.354,0.174,1349.521,4706.366,991.414,1349.521,0.236,0.727,0.0050931,0.6,0.6
L20G014T64-2_G017T34-0_C9S,4567.219,0.193,1466.395,5031.721,1203.373,1466.395,0.241,0.766,0.00520266,0.6,0.6
L20G014T64-2_G017T34-4_C9S,3116.573,0.001,847.29,3116.579,3.12,847.29,0.211,0.544,0.00455378,0.6,0.6
L20G014T64-2_G025T34-2_C9S,4424.367,-0.004,794.495,4424.508,-17.628,794.495,0.214,0.358,0.0046267,0.6,0.6
L20G014T64-2_G025T34-4_C9S,5790.236,0.174,1207.984,6248.282,1316.224,1207.984,0.218,0.49,0.00471599,0.6,0.6
L20G014T64-2_G025T34-5_C9S,5324.868,0.111,1071.133,5476.675,683.814,1071.133,0.235,0.447,0.00506539,0.6,0.6
L20G014T64-2_G027T34-1_C9S,4051.69,-0.052,708.702,4072.626,-201.309,708.702,0.209,0.332,0.00451705,0.6,0.6
L20G014T64-2_G027T34-2_C9S,5463.29,0.15,1034.358,5768.691,1018.004,1034.358,0.214,0.435,0.00461674,0.6,0.6
