Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G0124T64-0S,262.588,0.318,193.622,373.287,174.054,193.622,0.031,0.514,0.00066399,0.2,"[135, -1]","[0, 0, 0, 1, 0, 0]","[0, 0, 10, 5, 0, 10, 2.5, 5, 5, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-1S,517.771,-0.021,74.308,518.219,-10.659,74.308,0.049,3.559,0.00105455,0.2,"[136, -1]","[0, 0, 0, 1, 1, 0]","[0, 0, 0, 5, 0, 10, 5, 5, 10, 2.5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-2S,595.875,0.261,377.048,730.561,258.02,377.048,0.051,0.627,0.00110516,0.2,"[137, -1]","[0, 1, 0, 1, 1, 1]","[10, 0, 10, 10, 0, 5, 5, 5, 2.5, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-3S,1001.95,0.183,298.926,1091.426,244.469,298.926,0.065,1.417,0.00140182,0.2,"[138, -1]","[0, 1, 1, 0, 0, 0]","[10, 0, 10, 5, 10, 10, 2.5, 5, 5, 5, 0, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-4S,516.446,-0.02,75.539,516.851,-10.134,75.539,0.049,3.488,0.00105455,0.2,"[139, -1]","[1, 0, 0, 1, 0, 1]","[10, 10, 10, 5, 0, 10, 5, 0, 5, 7.5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-5S,262.465,0.317,193.586,371.899,172.609,193.586,0.031,0.515,0.00066399,0.2,"[140, -1]","[0, 1, 0, 1, 1, 1]","[10, 0, 10, 10, 0, 5, 5, 5, 7.5, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-6S,999.913,0.182,299.109,1088.03,242.08,299.109,0.065,0.707,0.00140182,0.2,"[141, -1]","[0, 0, 0, 0, 1, 0]","[0, 0, 10, 0, 5, 0, 5, 7.5, 5, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-7S,596.405,0.261,376.922,731.211,258.249,376.922,0.051,0.627,0.00110516,0.2,"[142, -1]","[0, 0, 0, 1, 0, 0]","[0, 0, 10, 5, 0, 10, 7.5, 5, 5, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-0S,689.351,-0.024,126.762,690.127,-16.175,126.762,0.054,2.786,0.00117508,0.2,"[147, -1]","[1, 0, 0, 1, 0, 1]","[10, 10, 10, 5, 0, 10, 5, 0, 5, 6.667, 3.333, 3.333, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-1S,886.779,0.153,209.254,938.664,169.558,209.254,0.058,0.544,0.00124842,0.2,"[148, -1]","[0, 0, 0, 0, 1, 0]","[0, 0, 10, 0, 5, 0, 3.333, 6.667, 3.333, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-2S,746.607,0.277,435.352,947.774,363.117,435.352,0.059,0.671,0.00126764,0.2,"[149, -1]","[0, 1, 0, 0, 1, 1]","[10, 0, 10, 5, 0, 0, 3.333, 3.333, 3.333, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-3S,888.256,0.155,210.032,941.811,172.758,210.032,0.058,1.831,0.00124846,0.2,"[150, -1]","[0, 1, 1, 0, 0, 0]","[10, 0, 10, 5, 10, 10, 3.333, 6.667, 6.667, 5, 0, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-4S,688.97,-0.023,127.858,689.683,-15.506,127.858,0.054,2.758,0.00117509,0.2,"[151, -1]","[0, 0, 0, 1, 1, 0]","[0, 0, 0, 5, 0, 10, 5, 5, 10, 3.333, 6.667, 6.667, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-5S,743.532,0.275,436.582,939.539,356.377,436.582,0.059,0.668,0.00126764,0.2,"[152, -1]","[0, 0, 1, 0, 0, 1]","[0, 0, 10, 10, 5, 10, 6.667, 6.667, 6.667, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0128T64-0S,407.668,0.321,286.403,585.316,276.711,286.403,0.048,0.539,0.0010275,0.2,"[167, -1]","[0, 0, 0, 1, 1, 1]","[10, 0, 0, 5, 0, 10, 6.667, 3.333, 10, 10, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0128T64-1S,791.511,0.252,345.673,953.394,321.197,345.673,0.054,0.914,0.00117502,0.2,"[168, -1]","[1, 0, 0, 0, 0, 1]","[10, 10, 10, 5, 0, 0, 5, 0, 5, 6.667, 3.333, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0128T64-2S,406.587,0.319,285.831,579.892,271.638,285.831,0.048,0.539,0.0010275,0.2,"[169, -1]","[0, 1, 0, 1, 0, 0]","[0, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0128T64-3S,788.737,0.249,343.262,944.726,313.231,343.262,0.054,0.92,0.00117503,0.2,"[170, -1]","[0, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 5, 10, 5, 5, 10, 0, 3.333, 6.667, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G012T34-4S,285.035,0.395,314.616,588.654,384.328,314.616,0.031,0.325,0.00067763,0.2,"[56, -1]","[1, 0, 1, 0, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G012T34-4_G0124T64-4_C9S,1273.18,0.286,617.127,1651.594,661.563,617.127,0.078,0.802,0.00168034,0.2,"[56, 139]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 5, 0, 5, 7.5, 5, 5]"
L20G012T34-4_G0125T64-0_C9S,1441.418,0.27,640.359,1801.156,666.181,640.359,0.083,0.886,0.00180066,0.2,"[56, 147]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 5, 0, 5, 6.667, 3.333, 3.333]"
L20G012T34-4_G0128T64-1_C9S,1173.807,0.316,734.848,1657.865,765.914,734.848,0.083,0.607,0.00180034,0.2,"[56, 168]","[1, 0, 1, 0, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 0, 5, 0, 5, 6.667, 3.333, 10]"
L20G012T34-4_G0128T64-3_C9S,1205.129,0.326,773.145,1760.235,851.39,773.145,0.084,0.588,0.00181279,0.2,"[56, 170]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 10, 5, 10, 5, 5, 10, 0, 3.333, 6.667]"
L20G012T34-4_G012T34-7_C6S,679.404,0.374,738.59,1228.33,733.859,738.59,0.062,0.335,0.00132971,0.2,"[56, 58]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5]"
L20G012T34-4_G012T64-10_C9S,916.231,0.365,869.913,1578.637,907.406,869.913,0.093,0.386,0.00200039,0.2,"[56, 60]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 5, 0, 0, 10, 5, 10, 5, 5, 10]"
L20G012T34-4_G012T64-5_C9S,791.292,0.359,762.442,1323.507,741.247,762.442,0.092,0.382,0.00198312,0.2,"[56, 57]","[1, 0, 1, 0, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 10, 5, 10, 0, 0, 5, 0, 5, 5]"
L20G012T34-4_G012T64-9_C9S,3441.133,0.273,1491.754,4328.641,1625.473,1491.754,0.125,0.906,0.00270792,0.2,"[56, 59]","[1, 0, 1, 0, 1, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 10, 0, 0, 10, 5, 10, 5, 5, 10]"
L20G012T34-4_G0138T64-2_C9S,550.321,0.368,558.369,963.037,560.756,558.369,0.078,0.36,0.00168741,0.2,"[56, 172]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 5, 5, 5]"
L20G012T34-4_G013T34-0_C6S,845.23,0.345,671.811,1327.799,699.375,671.811,0.062,0.468,0.0013455,0.2,"[56, 61]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 10, 10, 10, 10, 5, 5, 5, 0, 0, 5]"
L20G012T34-4_G014T64-4_C9S,1161.797,0.343,927.862,1810.047,944.971,927.862,0.094,0.466,0.00202417,0.2,"[56, 70]","[1, 0, 1, 1, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 5, 0, 10, 10, 5, 10, 7.5, 5, 5]"
L20G012T34-4_G0158T64-3_C9S,674.088,0.375,695.465,1225.615,735.369,695.465,0.086,0.352,0.00184807,0.2,"[56, 176]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 3.333, 3.333, 3.333]"
L20G012T34-4_G0158T64-5_C9S,399.135,0.375,423.901,725.7,435.42,423.901,0.071,0.342,0.00152677,0.2,"[56, 178]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 6.667, 6.667, 6.667]"
L20G012T34-4_G015T34-11_C6S,624.027,0.364,575.851,1069.738,612.24,575.851,0.059,0.397,0.00127444,0.2,"[56, 82]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 10, 10, 10, 10, 6.667, 6.667, 6.667, 0, 0, 5]"
L20G012T34-4_G015T34-2_C6S,1207.745,0.317,773.699,1711.312,794.269,773.699,0.066,0.593,0.00141656,0.2,"[56, 76]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 10, 10, 10, 10, 3.333, 3.333, 3.333, 0, 0, 5]"
L20G012T34-4_G0178T64-2_C9S,692.698,0.381,749.301,1304.56,802.968,749.301,0.089,0.335,0.0019284,0.2,"[56, 183]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 2.5, 2.5, 2.5]"
L20G012T34-4_G0178T64-3_C9S,350.898,0.381,377.391,660.847,406.757,377.391,0.067,0.337,0.00144645,0.2,"[56, 184]","[1, 0, 1, 1, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 7.5, 7.5, 7.5]"
L20G012T34-4_G017T34-0_C6S,1406.499,0.303,820.734,1909.552,830.121,820.734,0.067,0.658,0.00145208,0.2,"[56, 95]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 10, 10, 10, 10, 2.5, 2.5, 2.5, 0, 0, 5]"
L20G012T34-4_G017T34-4_C6S,554.816,0.37,530.385,981.286,576.311,530.385,0.057,0.382,0.00123891,0.2,"[56, 99]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 10, 10, 10, 10, 7.5, 7.5, 7.5, 0, 0, 5]"
L20G012T34-4_G018T64-1_C9S,899.655,0.364,747.817,1542.232,882.661,747.817,0.073,0.441,0.00158746,0.2,"[56, 111]","[1, 0, 1, 0, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 10, 5, 10, 6.667, 3.333, 10, 0, 0, 5]"
L20G012T34-4_G018T64-3_C9S,593.506,0.305,527.575,810.466,355.672,527.575,0.074,0.431,0.00160044,0.2,"[56, 112]","[1, 0, 1, 0, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 10, 5, 10, 3.333, 0, 6.667, 0, 0, 5]"
L20G012T34-4_G018T64-9_C9S,1367.69,0.318,756.561,1944.264,906.563,756.561,0.092,0.686,0.00199299,0.2,"[56, 113]","[1, 0, 1, 0, 0, 1]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 0, 6.667, 3.333, 10, 10, 5, 10, 6.667, 3.333, 0]"
L20G012T34-4_G028T64-1_C9S,455.598,0.401,497.794,983.797,658.602,497.794,0.064,0.327,0.00138489,0.2,"[56, 116]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 5, 0, 5, 3.333, 0, 6.667, 5, 5, 10]"
L20G012T34-4_G048T64-1_C9S,1818.819,0.126,368.907,1887.387,272.095,368.907,0.085,2.189,0.00182606,0.2,"[56, 120]","[1, 1, 1, 0, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 10, 0, 10, 3.333, 0, 6.667, 5, 5, 7.5]"
L20G012T34-4_G058T64-7_C9S,1944.436,0.1,388.575,1988.628,220.959,388.575,0.088,2.275,0.00190648,0.2,"[56, 128]","[1, 1, 1, 0, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 10, 10, 10, 10, 0, 10, 3.333, 0, 6.667, 3.333, 3.333, 6.667]"
L20G012T34-4_G12T64-0_C9S,1597.957,0.239,740.584,1880.217,590.502,740.584,0.093,0.871,0.00200438,0.2,"[56, 185]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 5, 0, 5, 10, 10, 5, 10, 5, 0, 5]"
L20G012T34-4_G12T64-1_C9S,1676.856,0.247,739.137,2001.123,656.411,739.137,0.093,0.91,0.00200695,0.2,"[56, 186]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 5, 10, 0, 5, 10, 5, 10, 5, 5, 10]"
L20G012T34-4_G12T64-2_C9S,727.59,0.344,600.319,1138.247,596.886,600.319,0.073,0.451,0.00157186,0.2,"[56, 187]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 5, 5, 0, 5, 10, 5, 10, 5, 5, 10]"
L20G012T34-4_G13T64-0_C9S,787.564,0.327,700.132,1154.394,560.901,700.132,0.082,0.424,0.00176455,0.2,"[56, 188]","[1, 0, 1, 1, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 5, 0, 10, 10, 5, 10, 5, 5, 5, 0, 0, 5]"
L20G012T34-4_G17T64-0_C9S,1532.807,0.25,565.236,1839.368,613.123,565.236,0.082,1.085,0.00177933,0.2,"[56, 189]","[1, 0, 1, 1, 0, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 5, 0, 0, 5, 0, 10, 10, 5, 10, 7.5, 2.5, 2.5]"
L20G012T34-4_G17T64-1_C9S,1305.618,0.212,460.766,1473.728,396.485,460.766,0.083,1.169,0.00178578,0.2,"[56, 190]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 10, 5, 10, 5, 0, 5, 0, 0, 5, 5, 0, 10, 5, 10, 10, 2.5, 7.5, 7.5]"
L20G012T34-7S,284.707,0.394,313.693,583.811,379.573,313.693,0.031,0.326,0.00067763,0.2,"[58, -1]","[1, 0, 0, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G012T34-7_G0124T64-1_C9S,1273.488,0.286,616.171,1651.993,661.723,616.171,0.078,0.804,0.00168034,0.2,"[58, 136]","[1, 0, 0, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 0, 5, 0, 10, 5, 5, 10, 2.5, 5, 5]"
L20G012T34-7_G0125T64-4_C9S,1441.595,0.271,641.72,1805.343,671.122,641.72,0.083,0.884,0.00180067,0.2,"[58, 151]","[1, 0, 0, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 0, 5, 0, 10, 5, 5, 10, 3.333, 6.667, 6.667]"
L20G012T34-7_G0128T64-1_C9S,1203.353,0.326,773.911,1757.641,850.135,773.911,0.084,0.586,0.00181279,0.2,"[58, 168]","[1, 0, 0, 0, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 0, 5, 0, 5, 6.667, 3.333, 10]"
L20G012T34-7_G0128T64-3_C9S,1173.619,0.315,733.311,1652.305,759.819,733.311,0.083,0.609,0.00180035,0.2,"[58, 170]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 0, 10, 5, 10, 5, 5, 10, 0, 3.333, 6.667]"
L20G012T34-7_G012T64-10_C9S,791.137,0.36,761.139,1329.642,747.924,761.139,0.092,0.382,0.00198312,0.2,"[58, 60]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 0, 5, 0, 0, 10, 5, 10, 5, 5, 10]"
L20G012T34-7_G012T64-9_C9S,2912.741,0.252,1351.819,3508.468,1181.997,1351.819,0.125,0.86,0.00269029,0.2,"[58, 59]","[1, 0, 1, 0, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 0, 10, 0, 0, 10, 5, 10, 5, 5, 10]"
L20G012T34-7_G0138T64-2_C9S,564.49,0.359,638.338,944.16,528.789,638.338,0.078,0.325,0.00168757,0.2,"[58, 172]","[1, 0, 0, 1, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 5, 5, 5]"
L20G012T34-7_G014T64-0_C9S,1160.327,0.344,930.589,1815.225,951.886,930.589,0.094,0.464,0.00202417,0.2,"[58, 67]","[1, 0, 0, 1, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 10, 0, 0, 5, 2.5, 5, 5]"
L20G012T34-7_G0158T64-3_C9S,662.309,0.371,801.481,1177.753,694.668,801.481,0.086,0.301,0.00184823,0.2,"[58, 176]","[1, 0, 0, 1, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 3.333, 3.333, 3.333]"
L20G012T34-7_G0158T64-5_C9S,429.675,0.363,479.83,732.88,417.638,479.83,0.071,0.328,0.00152692,0.2,"[58, 178]","[1, 0, 0, 1, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 6.667, 6.667, 6.667]"
L20G012T34-7_G0178T64-2_C9S,688.508,0.377,865.959,1266.275,766.269,865.959,0.089,0.289,0.00192856,0.2,"[58, 183]","[1, 0, 0, 1, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 2.5, 2.5, 2.5]"
L20G012T34-7_G0178T64-3_C9S,372.328,0.373,419.651,669.405,398.227,419.651,0.067,0.323,0.0014466,0.2,"[58, 184]","[1, 0, 0, 1, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 7.5, 7.5, 7.5]"
L20G012T34-7_G018T64-10_C9S,1367.451,0.318,756.346,1943.924,906.405,756.346,0.092,0.686,0.00199299,0.2,"[58, 114]","[1, 0, 0, 0, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 6.667, 3.333, 10, 5, 0, 0, 6.667, 3.333, 0]"
L20G012T34-7_G018T64-3_C9S,899.726,0.364,748.052,1542.354,882.731,748.052,0.073,0.441,0.00158746,0.2,"[58, 112]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 10, 5, 10, 3.333, 0, 6.667, 0, 0, 5]"
L20G012T34-7_G023T34-1_C6S,1469.475,0.241,610.915,1735.012,550.906,610.915,0.062,0.969,0.0013424,0.2,"[58, 64]","[1, 1, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 0, 10, 10, 10, 10, 5, 5, 5, 5, 0, 5]"
L20G012T34-7_G025T34-1_C6S,1576.617,0.266,735.098,1953.182,707.829,735.098,0.065,0.847,0.00141346,0.2,"[58, 88]","[1, 1, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 0, 10, 10, 10, 10, 3.333, 3.333, 3.333, 5, 0, 5]"
L20G012T34-7_G025T34-4_C6S,1265.598,0.225,491.867,1455.79,422.649,491.867,0.059,1.05,0.00127135,0.2,"[58, 91]","[1, 1, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 0, 10, 10, 10, 10, 6.667, 6.667, 6.667, 5, 0, 5]"
L20G012T34-7_G027T34-0_C6S,1613.299,0.272,792.821,2024.857,756.54,792.821,0.067,0.8,0.001449,0.2,"[58, 103]","[1, 1, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 0, 10, 10, 10, 10, 2.5, 2.5, 2.5, 5, 0, 5]"
L20G012T34-7_G027T34-2_C6S,1117.221,0.233,435.387,1301.458,395.358,435.387,0.057,1.041,0.00123582,0.2,"[58, 105]","[1, 1, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 0, 10, 10, 10, 10, 7.5, 7.5, 7.5, 5, 0, 5]"
L20G012T34-7_G028T64-0_C9S,455.507,0.401,497.529,983.6,658.47,497.529,0.064,0.327,0.00138489,0.2,"[58, 115]","[1, 0, 0, 0, 1, 1]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 0, 5, 0, 5, 6.667, 3.333, 10, 5, 5, 10]"
L20G012T34-7_G028T64-1_C9S,334.283,0.391,472.503,671.348,431.03,472.503,0.065,0.254,0.0013939,0.2,"[58, 116]","[1, 0, 0, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 10, 10, 10, 5, 0, 5, 3.333, 0, 6.667, 5, 5, 10]"
L20G012T34-7_G058T64-6_C9S,911.235,0.334,788.777,1370.284,687.2,788.777,0.076,0.433,0.0016334,0.2,"[58, 127]","[1, 0, 0, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 10, 10, 10, 10, 6.667, 3.333, 6.667, 3.333, 0, 6.667]"
L20G012T34-7_G068T64-3_C9S,811.299,0.332,694.237,1210.916,601.832,694.237,0.073,0.439,0.00157104,0.2,"[58, 132]","[1, 0, 0, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 10, 10, 10, 10, 7.5, 5, 7.5, 3.333, 0, 6.667]"
L20G012T34-7_G123T64-0_C9S,2246.063,0.177,685.944,2431.156,522.861,685.944,0.075,1.391,0.00161138,0.2,"[58, 195]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 5, 10, 10, 5, 10, 5, 5, 5, 0, 5, 5]"
L20G012T34-7_G123T64-2_C9S,1283.239,0.255,541.082,1554.619,532.118,541.082,0.06,0.945,0.0013065,0.2,"[58, 197]","[1, 0, 0, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 5, 0, 10, 5, 0, 5, 5, 5, 5, 5, 5, 10]"
L20G012T34-7_G12T64-0_C9S,1674.777,0.248,738.491,2002.303,660.334,738.491,0.093,0.909,0.00200695,0.2,"[58, 185]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 5, 0, 5, 10, 10, 5, 10, 5, 0, 5]"
L20G012T34-7_G12T64-1_C9S,1596.069,0.238,740.729,1874.799,585.567,740.729,0.093,0.87,0.00200438,0.2,"[58, 186]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 5, 10, 0, 5, 10, 5, 10, 5, 5, 10]"
L20G012T34-7_G12T64-2_C9S,727.605,0.343,601.092,1133.588,591.813,601.092,0.073,0.451,0.00157186,0.2,"[58, 187]","[1, 0, 1, 0, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 5, 5, 0, 5, 10, 5, 10, 5, 5, 10]"
L20G012T34-7_G17T64-1_C9S,1534.628,0.25,566.281,1841.554,613.851,566.281,0.082,1.084,0.00177933,0.2,"[58, 190]","[1, 0, 1, 1, 1, 0]","[0, 0, 0, 10, 10, 10, 5, 5, 10, 0, 0, 5, 0, 0, 5, 5, 0, 10, 5, 10, 10, 2.5, 7.5, 7.5]"
L20G012T64-0S,784.108,0.09,74.358,798.32,78.955,74.358,0.022,4.837,0.00048276,0.2,"[53, -1]","[0, 1, 0, 1, 0, 0]","[0, 0, 10, 10, 0, 10, 5, 0, 5, 0, 0, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G012T64-0_G013T34-0_C9S,1265.488,0.226,342.336,1457.901,425.692,342.336,0.053,1.508,0.00115443,0.2,"[53, 61]","[1, 1, 0, 1, 1, 0]","[0, 0, 10, 10, 0, 10, 5, 0, 5, 0, 0, 5, 0, 0, 10, 10, 10, 10, 5, 5, 5, 0, 0, 5]"
L20G012T64-0_G013T34-1_C9S,1296.358,0.228,376.213,1498.114,442.448,376.213,0.053,1.403,0.00115443,0.2,"[53, 62]","[0, 1, 1, 1, 0, 0]","[0, 0, 10, 10, 0, 10, 5, 0, 5, 0, 0, 5, 0, 0, 0, 10, 0, 10, 10, 5, 10, 5, 5, 5]"
