Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G02T34-4_G0134T64-2_C9S,7897.719,0.163,1520.419,8433.105,1642.289,1520.419,0.277,2.233,0.00597411,1.0,"[39, 145]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 5, 0, 10, 5, 5, 5, 7.5, 5, 5]"
L20G02T34-4_G0135T64-0_C9S,7655.767,0.176,1854.31,8278.156,1768.15,1854.31,0.29,1.755,0.00627468,1.0,"[39, 153]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 5, 0, 10, 3.333, 3.333, 6.667, 5, 5, 5]"
L20G02T34-4_G0137T64-0_C9S,7965.703,0.179,2097.882,8640.093,1883.772,2097.882,0.308,1.61,0.00665312,1.0,"[39, 159]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 5, 0, 10, 2.5, 2.5, 7.5, 5, 5, 5]"
L20G02T34-4_G0138T64-2_C9S,9821.281,0.123,1624.826,10172.241,1426.665,1624.826,0.361,2.691,0.00780211,1.0,"[39, 172]","[1, 1, 1, 1, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 5, 5, 5]"
L20G02T34-4_G014T64-2_C9S,12838.71,0.196,3396.288,14195.238,3460.531,3396.288,0.394,1.58,0.00851076,1.0,"[39, 68]","[1, 1, 1, 0, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 0, 0, 10, 0, 0, 5, 5, 2.5, 5, 10, 5, 10]"
L20G02T34-4_G014T64-3_C9S,12915.781,0.126,2931.094,13402.694,1932.196,2931.094,0.385,1.957,0.00830801,1.0,"[39, 69]","[1, 1, 1, 0, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 0, 0, 5, 5, 5, 7.5, 10, 5, 10]"
L20G02T34-4_G014T64-7_C9S,8788.995,0.192,2311.749,9671.495,2298.177,2311.749,0.318,1.595,0.00686367,1.0,"[39, 72]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 5, 0, 10, 2.5, 5, 5, 7.5, 5, 5]"
L20G02T34-4_G0156T64-0_C9S,6814.463,0.145,1618.952,7166.942,1215.446,1618.952,0.293,1.838,0.00632626,1.0,"[39, 157]","[1, 1, 1, 1, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 5, 0, 10, 2.5, 2.5, 5, 3.333, 3.333, 3.333]"
L20G02T34-4_G0158T64-3_C9S,11061.566,0.154,2419.161,11718.582,2133.17,2419.161,0.395,1.981,0.00852575,1.0,"[39, 176]","[1, 1, 1, 1, 1, 1]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 10, 10, 5, 0, 10, 3.333, 0, 6.667, 3.333, 3.333, 3.333]"
L20G02T34-4_G015T64-1_C9S,9734.76,0.06,1908.08,9809.9,626.164,1908.08,0.36,2.407,0.00777226,1.0,"[39, 75]","[1, 1, 1, 0, 1, 0]","[10, 0, 10, 10, 10, 10, 5, 10, 5, 5, 0, 5, 10, 0, 10, 0, 0, 5, 3.333, 3.333, 6.667, 10, 5, 10]"
